year,avg_margin
1897,27.7
1898,32.2
1899,30.1
1900,29.3
1901,29.5
1902,27.3
1903,27.8
1904,25.0
1905,25.9
1906,33.6
1907,23.3
1908,25.3
1909,28.2
1910,25.5
1911,27.9
1912,27.1
1913,23.9
1914,28.1
1915,26.4
1916,18.6
1917,22.3
1918,24.3
1919,32.1
1920,30.5
1921,22.5
1922,19.3
1923,22.2
1924,23.4
1925,28.3
1926,29.4
1927,29.0
1928,26.5
1929,30.2
1930,30.1
1931,30.5
1932,28.4
1933,29.8
1934,31.8
1935,29.2
1936,29.0
1937,28.4
1938,27.1
1939,30.0
1940,26.7
1941,27.2
1942,33.8
1943,27.8
1944,33.2
1945,29.1
1946,33.2
1947,31.0
1948,32.1
1949,30.3
1950,30.6
1951,28.0
1952,25.1
1953,27.0
1954,25.5
1955,32.1
1956,25.2
1957,23.2
1958,26.6
1959,28.1
1960,23.9
1961,26.0
1962,25.3
1963,34.2
1964,29.2
1965,28.4
1966,34.9
1967,30.7
1968,27.9
1969,29.9
1970,29.6
1971,37.1
1972,32.3
1973,27.6
1974,32.6
1975,30.2
1976,27.5
1977,33.0
1978,31.5
1979,40.5
1980,34.3
1981,36.3
1982,39.3
1983,38.7
1984,35.8
1985,38.6
1986,41.0
1987,39.6
1988,36.6
1989,36.8
1990,39.6
1991,40.6
1992,40.5
1993,37.8
1994,37.3
1995,37.5
1996,40.9
1997,34.4
1998,31.8
1999,32.7
2000,38.4
2001,36.8
2002,31.7
2003,33.2
2004,36.3
2005,34.3
2006,34.6
2007,32.8
2008,35.9
2009,33.0
2010,35.0
2011,39.8
2012,40.9
2013,37.0
2014,35.4
2015,37.9
2016,37.9
2017,32.3
2018,33.1
2019,30.0
2020,26.2
2021,30.1
2022,30.8
2023,30.6
2024,31.2
2025,35.4
