year,avg_total_points
1897,77.9
1898,78.4
1899,75.9
1900,81.7
1901,88.5
1902,91.6
1903,93.4
1904,98.1
1905,102.1
1906,112.7
1907,105.8
1908,108.5
1909,108.0
1910,108.5
1911,109.6
1912,114.2
1913,121.0
1914,119.0
1915,120.6
1916,133.5
1917,113.5
1918,112.8
1919,122.2
1920,134.9
1921,131.4
1922,137.0
1923,131.1
1924,138.6
1925,138.3
1926,149.7
1927,147.4
1928,158.9
1929,154.4
1930,161.2
1931,152.8
1932,163.9
1933,172.0
1934,184.6
1935,178.8
1936,182.4
1937,176.8
1938,184.7
1939,183.3
1940,180.3
1941,187.2
1942,183.4
1943,169.2
1944,170.0
1945,169.2
1946,177.9
1947,173.4
1948,165.4
1949,157.2
1950,165.6
1951,152.0
1952,140.5
1953,144.4
1954,150.9
1955,148.3
1956,141.4
1957,154.4
1958,155.2
1959,161.8
1960,140.5
1961,146.8
1962,151.3
1963,146.6
1964,143.0
1965,147.3
1966,153.2
1967,159.4
1968,163.9
1969,194.0
1970,176.0
1971,185.2
1972,188.4
1973,191.4
1974,185.1
1975,187.7
1976,193.0
1977,198.4
1978,209.2
1979,211.9
1980,209.8
1981,199.7
1982,224.1
1983,211.8
1984,206.3
1985,211.4
1986,202.3
1987,208.4
1988,194.7
1989,190.7
1990,199.0
1991,204.8
1992,207.6
1993,209.5
1994,189.2
1995,188.5
1996,188.4
1997,180.7
1998,186.8
1999,191.1
2000,207.1
2001,194.6
2002,189.5
2003,188.5
2004,185.6
2005,189.2
2006,185.1
2007,190.9
2008,194.8
2009,182.1
2010,180.3
2011,185.6
2012,183.7
2013,184.8
2014,173.8
2015,172.8
2016,177.3
2017,178.3
2018,166.2
2019,160.4
2020,121.2
2021,159.5
2022,166.2
2023,166.7
2024,168.9
2025,175.1
