team,matches,wins,losses,draws,win_pct
Collingwood,2674,1613,1031,30,60.3
Carlton,2627,1485,1107,35,56.5
Essendon,2590,1433,1120,37,55.3
Geelong,2576,1414,1138,24,54.9
Sydney,2570,1238,1307,25,48.2
Richmond,2395,1214,1155,26,50.7
Melbourne,2538,1162,1354,22,45.8
Hawthorn,2110,1029,1068,13,48.8
St Kilda,2507,986,1494,27,39.3
Western Bulldogs,2078,950,1106,22,45.7
North Melbourne,2095,899,1178,18,42.9
Fitzroy,1928,869,1034,25,45.1
West Coast,887,472,409,6,53.2
Brisbane Lions,875,401,465,9,45.8
Adelaide,781,400,378,3,51.2
Port Adelaide,647,349,293,5,53.9
Fremantle,677,305,369,3,45.1
Greater Western Sydney,304,140,160,4,46.1
Gold Coast,307,91,214,2,29.6
University,126,27,97,2,21.4
